Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Batt_RTC","CR2032_SMD2",149.225000,-18.415000,90.000000,bottom
"C17","10uF/25V","c_2917",35.560000,-20.955000,0.000000,bottom
"C18","22uF/25V","c_2917",57.150000,-24.130000,90.000000,bottom
"C19","1nF","c_0805",80.645000,-22.860000,180.000000,bottom
"C20","1nF","c_0805",13.970000,-13.970000,90.000000,bottom
"C21","1nF","c_0805",80.645000,-5.715000,0.000000,bottom
"C22","100nF","c_0805",130.810000,-28.575000,90.000000,bottom
"C23","10uF/25V","c_2917",10.160000,-20.955000,0.000000,bottom
"C24","100nF","c_0805",13.970000,-17.145000,90.000000,bottom
"C25","10uF/25V","c_2917",22.860000,-20.955000,180.000000,bottom
"C26","100nF","c_0805",19.050000,-17.145000,270.000000,bottom
"C27","100uF/6V3","c_2917",131.445000,-7.493000,180.000000,bottom
"C28","1uF/10V","c_0805",123.063000,-2.921000,0.000000,bottom
"C29","100nF","c_0805",135.255000,-35.560000,180.000000,bottom
"C30","100nF","c_0805",146.685000,-34.290000,270.000000,bottom
"C31","100nF","c_0805",14.605000,-34.290000,90.000000,bottom
"D1","1N5819","D_SOD-123",8.890000,-31.115000,90.000000,bottom
"D2","LED_PWR","LED-0805",40.640000,-26.670000,90.000000,bottom
"D3","VESD05A1B","D_LLP1006-2L",15.240000,-31.115000,90.000000,bottom
"D4","VESD05A1B","D_LLP1006-2L",12.065000,-31.115000,90.000000,bottom
"G1","LOGO_WL","Logo-WL3",41.200000,-33.200000,180.000000,bottom
"G3","OSHW","OSHW_6mm",71.120000,-15.875000,180.000000,bottom
"J20","SPI","Header_ISP",127.635000,-35.560000,90.000000,bottom
"JP1","LED_PWR_EN","R_0402",38.100000,-26.670000,90.000000,bottom
"P1","USB_micro","USB_Micro-B_Molex-105017-0001",1.905000,-26.670000,90.000000,bottom
"Q1","DDC114TU","SOT-363_SC-70-6",83.820000,-20.320000,270.000000,bottom
"R3","10k","r_0805",80.645000,-17.780000,90.000000,bottom
"R4","1k","r_0805",44.450000,-26.670000,90.000000,bottom
"R6","10k","r_0805",132.080000,-13.335000,90.000000,bottom
"R7","10k","r_0805",134.620000,-13.335000,90.000000,bottom
"R8","4K7","r_0805",26.450000,-36.200000,90.000000,bottom
"R9","4K7","r_0805",29.450000,-36.200000,90.000000,bottom
"R10","10k","r_0805",65.405000,-12.065000,90.000000,bottom
"R11","10k","r_0805",50.165000,-12.065000,90.000000,bottom
"R16","470R","r_0805",4.445000,-12.065000,270.000000,bottom
"R18","470R","r_0805",80.645000,-12.065000,270.000000,bottom
"R19","0R NC","r_0805",88.265000,-25.400000,0.000000,bottom
"R20","0R NC","r_0805",88.265000,-22.860000,0.000000,bottom
"R21","0R","r_0805",88.265000,-15.240000,0.000000,bottom
"R22","470R","r_0805",88.265000,-20.320000,180.000000,bottom
"R23","0R","r_0805",88.265000,-17.780000,0.000000,bottom
"R24","10k","r_0805",34.925000,-12.065000,90.000000,bottom
"R25","10k","r_0805",19.685000,-12.065000,90.000000,bottom
"S1","SW-ENTER","SW_SMD",73.025000,-8.890000,270.000000,bottom
"S2","SW-INC","SW_SMD",57.785000,-8.890000,270.000000,bottom
"S3","EN","SW_SMD",12.065000,-8.890000,90.000000,bottom
"S4","BOOT","SW_SMD",88.265000,-8.890000,90.000000,bottom
"S5","SW-DEC","SW_SMD",42.545000,-8.890000,270.000000,bottom
"S6","SW-MODE","SW_SMD",27.305000,-8.890000,270.000000,bottom
"U130","DS3231N","DS3231",130.810000,-21.590000,270.000000,bottom
"U131","1117-33","SOT-223-3_TabPin2",50.165000,-22.860000,90.000000,bottom
"U132","CP2102N-A01-GQFN28","QFN-28-1EP_5x5mm_Pitch0.5mm",19.685000,-26.670000,0.000000,bottom
